Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Is There a Woman in the House...or Senate?,"Using archival material as well as author interviews of pioneering lawmakers, Fireside tells the life stories of 10 outstanding women from the Jeanette Rankin, the first woman elected to Congress, to Senators Margaret Chase Smith and Bab Mikulski, the only two women to serve in both the House and Senate. Is There A Woman in the House. . . or Senate? was given a thumbs-up as a best book for teens by the New York Public Library.",['Bryna J. Fireside'],http://books.google.com/books/content?id=CIEGAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=CIEGAAAACAAJ&dq=Is+There+a+Woman+in+the+House...or+Senate%3F&hl=&cd=1&source=gbs_api,Backinprint.Com,2000-06-01,http://books.google.com/books?id=CIEGAAAACAAJ&dq=Is+There+a+Woman+in+the+House...or+Senate%3F&hl=&source=gbs_api,['History'],1.0
Mama's Window,,,,,,,,,
The Ethics of International Business (Ruffin Series in Business Ethics),The moral point of view.,['Thomas Donaldson'],http://books.google.com/books/content?id=9fu0AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=9fu0AAAAIAAJ&q=The+Ethics+of+International+Business+(Ruffin+Series+in+Business+Ethics)&dq=The+Ethics+of+International+Business+(Ruffin+Series+in+Business+Ethics)&hl=&cd=1&source=gbs_api,"Oxford University Press, USA",1989,http://books.google.com/books?id=9fu0AAAAIAAJ&dq=The+Ethics+of+International+Business+(Ruffin+Series+in+Business+Ethics)&hl=&source=gbs_api,['Medical'],
Jade,"Her destiny. His revenge. In an empire on the brink of war . . . Ahn is no one, with no past and no family. Altan is a lost heir, his future stolen away as a child. When they meet, Altan sees in Ahn a path to reclaiming the throne. Ahn sees a way to finally unlock her past and understand her lethal magical abilities. But they may have to pay a far deadlier price than either could have imagined. Girls of Paper and Fire meets A Song of Wraiths and Ruin in June CL Tan's stunning debut, where ferocious action, shadowy intrigue, rich magic, and a captivating slow-burn romance collide. 'Impossible to put down' Swati Teerdhala, author of The Tiger at Midnight series 'Adventure at its finest' Joan He, author of Descendant of the Crane 'An epic adventure!' Elizabeth Lim, New York Times bestselling author of Spin the Dawn 'Epic in every sense of the word, beautiful as it is sweeping' Roseanne A. Brown, New York Times bestselling author of A Song of Wraiths and Ruin",['June CL Tan'],http://books.google.com/books/content?id=1BMhEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=1BMhEAAAQBAJ&printsec=frontcover&dq=Jade&hl=&cd=1&source=gbs_api,Hachette UK,2021-11-04,https://play.google.com/store/books/details?id=1BMhEAAAQBAJ&source=gbs_api,['Fiction'],2.0
The Pied Piper of Hamlin,"THE PIED PIPER OF HAMELIN The town is suffering from a serious rat infestation. A mysterious piper stranger dressed in multicolored (""""pied"""") clothing appeared, known as the Pied Piper. He promised the mayor a solution to their problem with the rats. He says that he can cast a spell over rats by playing his flute. The mayor promises to pay the Piper handsomely if he rids the town of the rats. When the Piper gets rid of the vermin, however, the mayor offers him much less money than he originally agreed to give him. The angry Piper plays his flute again and makes all of Hamelin's children follow him out of town.","['ROBERT BROWNING', ""GRANDMA'S TREASURES""]",http://books.google.com/books/content?id=hiXHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=hiXHDwAAQBAJ&printsec=frontcover&dq=The+Pied+Piper+of+Hamlin&hl=&cd=1&source=gbs_api,Lulu.com,2019-10-24,http://books.google.nl/books?id=hiXHDwAAQBAJ&dq=The+Pied+Piper+of+Hamlin&hl=&source=gbs_api,,1.0
"The Bravest Girl in Sharpsburg (Wm Kids, 5)",,,http://books.google.com/books/content?id=NXDxHIpAKm0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=NXDxHIpAKm0C&q=The+Bravest+Girl+in+Sharpsburg+(Wm+Kids,+5)&dq=The+Bravest+Girl+in+Sharpsburg+(Wm+Kids,+5)&hl=&cd=1&source=gbs_api",,2006,"http://books.google.com/books?id=NXDxHIpAKm0C&dq=The+Bravest+Girl+in+Sharpsburg+(Wm+Kids,+5)&hl=&source=gbs_api",['Authors'],
The Generals' War : The Inside Story of the Conflict in the Gulf,A behind the scenes account and analysis of the plan- ning and execution of the Gulf War.,"['Michael R. Gordon', 'General Bernard E. Trainor']",http://books.google.com/books/content?id=epAROnWU4DIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=epAROnWU4DIC&dq=The+Generals%27+War+:+The+Inside+Story+of+the+Conflict+in+the+Gulf&hl=&cd=1&source=gbs_api,Back Bay Books,1995,http://books.google.nl/books?id=epAROnWU4DIC&dq=The+Generals%27+War+:+The+Inside+Story+of+the+Conflict+in+the+Gulf&hl=&source=gbs_api,['Current Events'],1.0
We Do Not Walk Alone,,,,,,,,,
Jazz Improvisation: Swing and Early Progressive Piano Styles,"This book examines the structure of over 50 major performances from the great age of the jazz piano, 1936 to 1950, when ragtime gave way to bop. It includes improvisations by Wilson, Tatum, Powell, Shearing, and Silver.",['John Mehegan'],,http://books.google.com/books?id=ITZoQgAACAAJ&dq=Jazz+Improvisation:+Swing+and+Early+Progressive+Piano+Styles&hl=&cd=1&source=gbs_api,Music Sales Amer,1964,http://books.google.com/books?id=ITZoQgAACAAJ&dq=Jazz+Improvisation:+Swing+and+Early+Progressive+Piano+Styles&hl=&source=gbs_api,['Music'],
A Prophet Reads Scripture: Allusion in Isaiah 40-66 (Contraversions: Jews and Other Differenc),"By examining literary allusion in Isaiah 40-66, the author illuminates the changes that led to the demise of biblical prophecy and the rise of hermeneutically based religions in the post-biblical era.",['Benjamin D. Sommer'],http://books.google.com/books/content?id=--Uh4h8d6IgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=--Uh4h8d6IgC&printsec=frontcover&dq=A+Prophet+Reads+Scripture:+Allusion+in+Isaiah+40-66+(Contraversions:+Jews+and+Other+Differenc)&hl=&cd=1&source=gbs_api,Stanford University Press,1998,http://books.google.com/books?id=--Uh4h8d6IgC&dq=A+Prophet+Reads+Scripture:+Allusion+in+Isaiah+40-66+(Contraversions:+Jews+and+Other+Differenc)&hl=&source=gbs_api,['Religion'],
Expressway & Skytrain Map of Bangkok,,,http://books.google.com/books/content?id=s7k1AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=s7k1AQAAMAAJ&printsec=frontcover&dq=Expressway&hl=&cd=1&source=gbs_api,,1972,https://play.google.com/store/books/details?id=s7k1AQAAMAAJ&source=gbs_api,,
Back then: Early days in Mellette County,,['Luree Wacek'],,http://books.google.com/books?id=EqueAAAACAAJ&dq=Back+then:+Early+days+in+Mellette+County&hl=&cd=1&source=gbs_api,,1995,http://books.google.com/books?id=EqueAAAACAAJ&dq=Back+then:+Early+days+in+Mellette+County&hl=&source=gbs_api,['Farm life'],
My Numbers/Mis Numeros,,['Rebecca Emberley'],,http://books.google.nl/books?id=w1rMzgEACAAJ&dq=My+Numbers/Mis+Numeros&hl=&cd=1&source=gbs_api,,,http://books.google.nl/books?id=w1rMzgEACAAJ&dq=My+Numbers/Mis+Numeros&hl=&source=gbs_api,,
"Legends, traditions and laws, of the Iroquois, or Six Nations, and History of the Tuscarora Indians.","This collection of literature attempts to compile many of the classic works that have stood the test of time and offer them at a reduced, affordable price, in an attractive volume so that everyone can enjoy them.",['Elias Johnson'],http://books.google.com/books/content?id=K0O6rQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=K0O6rQEACAAJ&dq=Legends,+traditions+and+laws,+of+the+Iroquois,+or+Six+Nations,+and+History+of+the+Tuscarora+Indians.&hl=&cd=1&source=gbs_api",CreateSpace,2014-12-11,"http://books.google.com/books?id=K0O6rQEACAAJ&dq=Legends,+traditions+and+laws,+of+the+Iroquois,+or+Six+Nations,+and+History+of+the+Tuscarora+Indians.&hl=&source=gbs_api",,
Laugh and Live,"“There is one thing in this good old world that is positively sure—happiness is for all who strive to be happy—and those who laugh are happy. Everybody is eligible—you—me—the other fellow. Happiness is fundamentally a state of mind—not a state of body. And mind controls”. Douglas Elton Fairbanks Sr. was an American actor, screenwriter, director, and producer. He was best known for his swashbuckling roles in silent films including The Thief of Bagdad, Robin Hood, and The Mark of Zorro, but spent the early part of his career making comedies.",['Douglas Fairbanks'],http://books.google.com/books/content?id=OK1HEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=OK1HEAAAQBAJ&printsec=frontcover&dq=Laugh+and+Live&hl=&cd=1&source=gbs_api,Strelbytskyy Multimedia Publishing,2021-10-12,https://play.google.com/store/books/details?id=OK1HEAAAQBAJ&source=gbs_api,['Fiction'],
Photographing the Landscape: The Art of Seeing,"""Photographing the Landscape: The Art of Seeing"" summarizes the subtleties of cameras and lenses, and it offers insights into different camera formats. But throughout these technical discussions, Fielder maintains a reverence for nature despite the temptations of technology. Following in the tradition of Ansel Adams, Fielder places nature above everything else. Take a look at his photographs and you'll begin to understand. Take heed of his instruction and you'll understand even more.",['John Fielder'],http://books.google.com/books/content?id=2A-LCLo8yEcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=2A-LCLo8yEcC&printsec=frontcover&dq=Photographing+the+Landscape:+The+Art+of+Seeing&hl=&cd=1&source=gbs_api,Big Earth Publishing,1997-03,http://books.google.com/books?id=2A-LCLo8yEcC&dq=Photographing+the+Landscape:+The+Art+of+Seeing&hl=&source=gbs_api,['Photography'],
Mandingo (Crest Giant),,['Kyle Onstott'],,http://books.google.com/books?id=k_xuxwEACAAJ&dq=Mandingo+(Crest+Giant)&hl=&cd=1&source=gbs_api,,1961,http://books.google.com/books?id=k_xuxwEACAAJ&dq=Mandingo+(Crest+Giant)&hl=&source=gbs_api,,
"Understanding Multiple-Birth Children and How They Learn: A Handbook for Parents, Teachers, and Administrators","The Nurse In The Purse is about a little girl named Molly who gets a surprise for her fifth birthday! Her birthday wish was for a new purse. Inside the purse she finds a magical doll Nurse who comes to life. Maria the Nurse is not just a friend to Molly, but one who teaches Molly first-aid, safety, and how to help others. Through the adventures of The Nurse In The Purse, a young girl is able to teach her friends what she has learned. Through the years of caring for sick children in hospitals and schools, I had the burning desire to do something special for them. My goal was to make children laugh and learn at the same time. The Nurse In The Purse is the production—the creation of fulfilling that dream. I wanted to follow the footsteps of my greatest admirer of children's books, Dr. Seuss. If I could see just one child laugh, enjoy, and learn from this book, then my goal was achieved. This book was written for ages four and up. It's easy and fun to read through the use of rhyme. The Nurse In The Purse can make a child laugh, and is educational.",['John R. Mascazine'],http://books.google.com/books/content?id=rfzewAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=rfzewAEACAAJ&dq=Understanding+Multiple-Birth+Children+and+How+They+Learn:+A+Handbook+for+Parents,+Teachers,+and+Administrators&hl=&cd=1&source=gbs_api",,2004,"http://books.google.nl/books?id=rfzewAEACAAJ&dq=Understanding+Multiple-Birth+Children+and+How+They+Learn:+A+Handbook+for+Parents,+Teachers,+and+Administrators&hl=&source=gbs_api",['Family & Relationships'],
"Open Immediately: Straight Talk on Direct Mail Fundraising : What Works, What Doesn'T, and Why",,['Stephen Hitchcock'],http://books.google.com/books/content?id=J4y9m4eSnbsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=J4y9m4eSnbsC&printsec=frontcover&dq=Open+Immediately:+Straight+Talk+on+Direct+Mail+Fundraising+:+What+Works,+What+Doesn%27T,+and+Why&hl=&cd=1&source=gbs_api","Emerson & Church, Publishers",2004,"http://books.google.com/books?id=J4y9m4eSnbsC&dq=Open+Immediately:+Straight+Talk+on+Direct+Mail+Fundraising+:+What+Works,+What+Doesn%27T,+and+Why&hl=&source=gbs_api",['Business & Economics'],
John Scofield - Guitar Transcriptions,16 songs from this jazz/fusion guitarist featuring full transcriptions and performance notes.,['John Scofield'],http://books.google.com/books/content?id=Aec8zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=Aec8zwEACAAJ&dq=John+Scofield+-+Guitar+Transcriptions&hl=&cd=1&source=gbs_api,Hal Leonard Corporation,1987,http://books.google.nl/books?id=Aec8zwEACAAJ&dq=John+Scofield+-+Guitar+Transcriptions&hl=&source=gbs_api,['Music'],
Love: Short Stories,"In love? Out of love? We've all been there ... And every aspect of love is in this book, from cradle to grave. So sit back, relax and let love wash over you.",['Hilary Coombes'],http://books.google.com/books/content?id=vV2cuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=vV2cuQEACAAJ&dq=Love:+Short+Stories&hl=&cd=1&source=gbs_api,Createspace Independent Publishing Platform,2018-07-19,http://books.google.com/books?id=vV2cuQEACAAJ&dq=Love:+Short+Stories&hl=&source=gbs_api,,
Securing Eastern Germany and the disposition of the Soviet western group of forces,The purpose of this study is to describe German planning and operations in the first part of the campaign against Russia. The narrative starts with Hitler's initial plans for an invasion of Russia and ends at the time of Germany's maximum territorial gains during the battle for Stalingrad.,['George E. Blau'],http://books.google.com/books/content?id=XQ7TAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=XQ7TAAAAMAAJ&printsec=frontcover&dq=Securing+Eastern+Germany+and+the+disposition+of+the+Soviet+western+group+of+forces&hl=&cd=1&source=gbs_api,,1955,https://play.google.com/store/books/details?id=XQ7TAAAAMAAJ&source=gbs_api,['Campaign'],1.0
"The Heat Is On: The Climate Crisis, The Cover-up, The Prescription",,['Ross Gelbspan'],,"http://books.google.com/books?id=4wMCuAEACAAJ&dq=The+Heat+Is+On:+The+Climate+Crisis,+The+Cover-up,+The+Prescription&hl=&cd=1&source=gbs_api",,1998,"http://books.google.com/books?id=4wMCuAEACAAJ&dq=The+Heat+Is+On:+The+Climate+Crisis,+The+Cover-up,+The+Prescription&hl=&source=gbs_api",['Energy industries'],
Cover Me (Harlequin Temptation),"Cover Me by Stephanie Bond released on Jan 23, 2004 is available now for purchase.",['Stephanie Bond'],http://books.google.com/books/content?id=qi8mWglMrdgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=qi8mWglMrdgC&q=Cover+Me+(Harlequin+Temptation)&dq=Cover+Me+(Harlequin+Temptation)&hl=&cd=1&source=gbs_api,Harlequin Books,2004,http://books.google.com/books?id=qi8mWglMrdgC&dq=Cover+Me+(Harlequin+Temptation)&hl=&source=gbs_api,['Fiction'],
Ten Miles from Winnemucca,"When his mother and her new husband take off on a long honeymoon and his new stepbrother throws his belongings out the window, sixteen-year-old Martin J. Miller takes off in his Jeep and settles in Red Rock, Idaho, where he finds a job, enrolls in school, and suffers from loneliness.",['Thelma Hatch Wyss'],http://books.google.com/books/content?id=YN2qbC6FY1YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=YN2qbC6FY1YC&q=Ten+Miles+from+Winnemucca&dq=Ten+Miles+from+Winnemucca&hl=&cd=1&source=gbs_api,Harpercollins Childrens Books,2002,http://books.google.com/books?id=YN2qbC6FY1YC&dq=Ten+Miles+from+Winnemucca&hl=&source=gbs_api,['Juvenile Fiction'],1.0
The age of fable (New universal library),,['Thomas Bulfinch'],,http://books.google.com/books?id=hAxXswEACAAJ&dq=The+age+of+fable+(New+universal+library)&hl=&cd=1&source=gbs_api,,1907,http://books.google.com/books?id=hAxXswEACAAJ&dq=The+age+of+fable+(New+universal+library)&hl=&source=gbs_api,['Mythology'],
We Are Michael Field (Outlines),Biography of the aunt and niece who wrote together under the pseudonym of Michael Field.,['Emma Donoghue'],http://books.google.com/books/content?id=MyFaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=MyFaAAAAMAAJ&q=We+Are+Michael+Field+(Outlines)&dq=We+Are+Michael+Field+(Outlines)&hl=&cd=1&source=gbs_api,,1998,http://books.google.nl/books?id=MyFaAAAAMAAJ&dq=We+Are+Michael+Field+(Outlines)&hl=&source=gbs_api,['Biography & Autobiography'],
"The old franciscan missions of California,",,['George Wharton James'],http://books.google.com/books/content?id=NLVTp9UNzfYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=NLVTp9UNzfYC&printsec=frontcover&dq=The+old+franciscan+missions+of+California,&hl=&cd=1&source=gbs_api",,1913,https://play.google.com/store/books/details?id=NLVTp9UNzfYC&source=gbs_api,['Indians of North America'],
ON ANCIENT CENTRAL-ASIAN TRACKS,,['Sir Aurel Stein'],,http://books.google.nl/books?id=0xOLtwEACAAJ&dq=ON+ANCIENT+CENTRAL-ASIAN+TRACKS&hl=&cd=1&source=gbs_api,,1984,http://books.google.nl/books?id=0xOLtwEACAAJ&dq=ON+ANCIENT+CENTRAL-ASIAN+TRACKS&hl=&source=gbs_api,"['Asia, Central']",1.0
The Power of Yiddish Thinking : The Way to Mastery Through a Kind of Verbal Karate,,,,http://books.google.nl/books?id=XRWRrgEACAAJ&dq=The+Power+of+Yiddish+Thinking+:+The+Way+to+Mastery+Through+a+Kind+of+Verbal+Karate&hl=&cd=1&source=gbs_api,,2015-10-01,http://books.google.nl/books?id=XRWRrgEACAAJ&dq=The+Power+of+Yiddish+Thinking+:+The+Way+to+Mastery+Through+a+Kind+of+Verbal+Karate&hl=&source=gbs_api,,
Yu-Gi-Oh! Dark Duel Stories (GBC) and Forbidden Memories (PSX) (Prima's Official Strategy Guide),"Twice the Adventure, Twice the Strategy. - Covers both ""Forbidden Memories"" PSX and ""Dark Duel Stories"" for GBC - Covers game basics for advanced players and beginners - Tips and tricks for constructing competitive card decks to help defeat Yami Yugi's enemies. - Exhaustive card list with in-depth stats and descriptions for every character - Thorough discussion on Fusion: How it Works, Fusion Lists, and Chain Fusions","['Scruffy Productions', 'Debra McBride']",http://books.google.com/books/content?id=ywAPVqhaposC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ywAPVqhaposC&q=Yu-Gi-Oh!+Dark+Duel+Stories+(GBC)+and+Forbidden+Memories+(PSX)+(Prima%27s+Official+Strategy+Guide)&dq=Yu-Gi-Oh!+Dark+Duel+Stories+(GBC)+and+Forbidden+Memories+(PSX)+(Prima%27s+Official+Strategy+Guide)&hl=&cd=1&source=gbs_api,,2002,http://books.google.com/books?id=ywAPVqhaposC&dq=Yu-Gi-Oh!+Dark+Duel+Stories+(GBC)+and+Forbidden+Memories+(PSX)+(Prima%27s+Official+Strategy+Guide)&hl=&source=gbs_api,['Games & Activities'],1.0
The Importance of Being Oscar,,,,,,,,,
Encyclopedia Anatomica (TASCHEN Icons Series),"Know thyself: Explore the complex and amazing universe that lives beneath your skin From the eccentric museum La Specola in Florence comes this amazing collection of waxworks depicting human anatomy in all its dazzling complexity. A selection of wax bodies and body part and organ studies from the museum's collection is presented here; from skeletons to vein structures, organs to nerves, and arteries to the delicate pores of the skin, the human body is mapped out in meticulous and exacting detail. Texts explaining the human anatomy in layperson's terms and exploring thehistorical and cultural significance of the wax figures complete this “total body experience”.","['Monika von Düring', 'Marta Poggesi']",http://books.google.com/books/content?id=UyJOnAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=UyJOnAEACAAJ&dq=Encyclopedia+Anatomica+(TASCHEN+Icons+Series)&hl=&cd=1&source=gbs_api,Taschen America Llc,2014,http://books.google.com/books?id=UyJOnAEACAAJ&dq=Encyclopedia+Anatomica+(TASCHEN+Icons+Series)&hl=&source=gbs_api,['Art'],
Soft Toys (Miller's Collector's Guides),This practical guide is aimed primarily at the budding collector and features an array of bottles and pot lids.,"['Frankie Leibe', 'Leyla Maniera', 'Daniel Agnew']",http://books.google.com/books/content?id=MUk6OwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=MUk6OwAACAAJ&dq=Soft+Toys+(Miller%27s+Collector%27s+Guides)&hl=&cd=1&source=gbs_api,Miller/Mitchell Beazley,2000,http://books.google.com/books?id=MUk6OwAACAAJ&dq=Soft+Toys+(Miller%27s+Collector%27s+Guides)&hl=&source=gbs_api,['Reference'],
Painting Wildlife Textures Step by Step,"Wildlife artist Lawrence demystifies the process of painting the wild and woolly textures of wildlife with 50 mini demonstrations for painting with acrylic, watercolor or oil. Illustrations.",['Rod Lawrence'],http://books.google.com/books/content?id=FqMUOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=FqMUOAAACAAJ&dq=Painting+Wildlife+Textures+Step+by+Step&hl=&cd=1&source=gbs_api,North Light Books,2001,http://books.google.com/books?id=FqMUOAAACAAJ&dq=Painting+Wildlife+Textures+Step+by+Step&hl=&source=gbs_api,['Art'],
Young Rissa (Rissa Kerguelen Saga Bk 1),"The “blockbuster” first novel in the action-packed Rissa Kerguelen space opera (Seattle Times). Rissa breathes a sigh of relief as the ship lifts off. It seems she has escaped danger, and no one has recognized the scientifically altered being as the beautiful young heir to the Hilzein Establishment—or so it seems. Possessing the only force capable of challenging the tyranny that devastated the Earth and universe, Rissa can do almost anything—then again, almost anything can happen to her while she is doing it too.",['F. M. Busby'],http://books.google.com/books/content?id=XzwjAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=XzwjAwAAQBAJ&pg=PP1&dq=Young+Rissa+(Rissa+Kerguelen+Saga+Bk+1)&hl=&cd=1&source=gbs_api,Open Road Media,2014-04-01,https://play.google.com/store/books/details?id=XzwjAwAAQBAJ&source=gbs_api,['Fiction'],
"The Punch: One Night, Two Lives, and the Fight That Changed Basketball Forever","When an on-court fight broke out between the Houston Rockets and the LA Lakers just before Christmas 1977, Rudy Tomjanovitch raced to break it up. He was met by Kermit Washington's fist. This is the story of how one punch changed two lives, the NBA and how we think about basketball, forever.",['John Feinstein'],http://books.google.com/books/content?id=L0IJ7MuXc_MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=L0IJ7MuXc_MC&printsec=frontcover&dq=The+Punch:+One+Night,+Two+Lives,+and+the+Fight+That+Changed+Basketball+Forever&hl=&cd=1&source=gbs_api","Little, Brown",2002-11-05,https://play.google.com/store/books/details?id=L0IJ7MuXc_MC&source=gbs_api,['Sports & Recreation'],7.0
"Romancing the Holidays, Vol. 1",,,,,,,,,
